title,title_bn,category,source,link,description,description_bn,is_active
SSC Result 2024 - 1,এসএসসি ফলাফল - 1,govt,Education Board,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2025 - 2,এইচএসসি ভর্তি - 2,education,BUET,https://example.gov.bd/notice/2,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2024 - 3,সরকারি চাকরি - 3,job,Ministry of Health,https://example.gov.bd/notice/3,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2025 - 4,স্বাস্থ্য ক্যাম্প - 4,health,BRTC,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2024 - 5,বৃত্তি নোটিশ - 5,general,DGHS,https://example.gov.bd/notice/5,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2025 - 6,এসএসসি ফলাফল - 6,govt,Education Board,https://example.gov.bd/notice/6,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2024 - 7,এইচএসসি ভর্তি - 7,education,BUET,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2025 - 8,সরকারি চাকরি - 8,job,Ministry of Health,https://example.gov.bd/notice/8,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2024 - 9,স্বাস্থ্য ক্যাম্প - 9,health,BRTC,https://example.gov.bd/notice/9,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2025 - 10,বৃত্তি নোটিশ - 10,general,DGHS,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
