name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
Home Cleaning Service Dhaka #1,হোম ক্লিনিং সার্ভিস Dhaka #1,service,home,Reliable home cleaning service available across Dhaka.,Dhaka জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Mirpur,Dhaka,Dhaka,"Mirpur, Dhaka",01711005480,,3.6,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Chittagong #2,সিটি ট্রান্সপোর্ট সার্ভিস Chittagong #2,service,transport,Reliable city transport service available across Chittagong.,Chittagong জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Dhanmondi,Chittagong,Chittagong,"Dhanmondi, Chittagong",01711005617,,3.7,,BDT 400,"Verified, Fast Response",0
Electronics Repair Rajshahi #3,ইলেকট্রনিক্স রিপেয়ার Rajshahi #3,service,repairs,Reliable electronics repair available across Rajshahi.,Rajshahi জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Uttara,Rajshahi,Rajshahi,"Uttara, Rajshahi",01711005754,,3.8,,BDT 500,"Verified, Fast Response",1
Online Doctor Consult Khulna #4,অনলাইন ডাক্তার পরামর্শ Khulna #4,service,telemedicine,Reliable online doctor consult available across Khulna.,Khulna জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Gulshan,Khulna,Khulna,"Gulshan, Khulna",01711005891,,3.9,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Sylhet #5,হোম টিউটর সার্ভিস Sylhet #5,service,tutor,Reliable home tutor service available across Sylhet.,Sylhet জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Mohammadpur,Sylhet,Sylhet,"Mohammadpur, Sylhet",01711006028,,4.0,,BDT 700,"Verified, Fast Response",1
Utility Bill Help Barisal #6,ইউটিলিটি বিল সহায়তা Barisal #6,service,utility,Reliable utility bill help available across Barisal.,Barisal জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Banani,Barisal,Barisal,"Banani, Barisal",01711006165,,4.1,,BDT 800,"Verified, Fast Response",0
Home Cleaning Service Rangpur #7,হোম ক্লিনিং সার্ভিস Rangpur #7,service,home,Reliable home cleaning service available across Rangpur.,Rangpur জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Agrabad,Rangpur,Rangpur,"Agrabad, Rangpur",01711006302,,4.2,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Mymensingh #8,সিটি ট্রান্সপোর্ট সার্ভিস Mymensingh #8,service,transport,Reliable city transport service available across Mymensingh.,Mymensingh জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Zindabazar,Mymensingh,Mymensingh,"Zindabazar, Mymensingh",01711006439,,4.3,,BDT 1000,"Verified, Fast Response",0
Electronics Repair Dhaka #9,ইলেকট্রনিক্স রিপেয়ার Dhaka #9,service,repairs,Reliable electronics repair available across Dhaka.,Dhaka জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Sadar,Dhaka,Dhaka,"Sadar, Dhaka",01711006576,,4.4,,BDT 1100,"Verified, Fast Response",1
Online Doctor Consult Chittagong #10,অনলাইন ডাক্তার পরামর্শ Chittagong #10,service,telemedicine,Reliable online doctor consult available across Chittagong.,Chittagong জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Kotwali,Chittagong,Chittagong,"Kotwali, Chittagong",01711006713,,4.5,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Rajshahi #11,হোম টিউটর সার্ভিস Rajshahi #11,service,tutor,Reliable home tutor service available across Rajshahi.,Rajshahi জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Mirpur,Rajshahi,Rajshahi,"Mirpur, Rajshahi",01711006850,,4.6,,BDT 300,"Verified, Fast Response",1
Utility Bill Help Khulna #12,ইউটিলিটি বিল সহায়তা Khulna #12,service,utility,Reliable utility bill help available across Khulna.,Khulna জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Dhanmondi,Khulna,Khulna,"Dhanmondi, Khulna",01711006987,,4.7,,BDT 400,"Verified, Fast Response",0
Home Cleaning Service Sylhet #13,হোম ক্লিনিং সার্ভিস Sylhet #13,service,home,Reliable home cleaning service available across Sylhet.,Sylhet জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Uttara,Sylhet,Sylhet,"Uttara, Sylhet",01711007124,,4.8,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Barisal #14,সিটি ট্রান্সপোর্ট সার্ভিস Barisal #14,service,transport,Reliable city transport service available across Barisal.,Barisal জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Gulshan,Barisal,Barisal,"Gulshan, Barisal",01711007261,,4.9,,BDT 600,"Verified, Fast Response",0
Electronics Repair Rangpur #15,ইলেকট্রনিক্স রিপেয়ার Rangpur #15,service,repairs,Reliable electronics repair available across Rangpur.,Rangpur জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Mohammadpur,Rangpur,Rangpur,"Mohammadpur, Rangpur",01711007398,,3.6,,BDT 700,"Verified, Fast Response",1
Online Doctor Consult Mymensingh #16,অনলাইন ডাক্তার পরামর্শ Mymensingh #16,service,telemedicine,Reliable online doctor consult available across Mymensingh.,Mymensingh জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Banani,Mymensingh,Mymensingh,"Banani, Mymensingh",01711007535,,3.7,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Dhaka #17,হোম টিউটর সার্ভিস Dhaka #17,service,tutor,Reliable home tutor service available across Dhaka.,Dhaka জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Agrabad,Dhaka,Dhaka,"Agrabad, Dhaka",01711007672,,3.8,,BDT 900,"Verified, Fast Response",1
Utility Bill Help Chittagong #18,ইউটিলিটি বিল সহায়তা Chittagong #18,service,utility,Reliable utility bill help available across Chittagong.,Chittagong জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Zindabazar,Chittagong,Chittagong,"Zindabazar, Chittagong",01711007809,,3.9,,BDT 1000,"Verified, Fast Response",0
