name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
Dhaka Hospital 1,Dhaka হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mirpur,Dhaka,Dhaka,"Mirpur Road, Dhaka",01711000000,https://listing1.org.bd,3.0,,Free,"ICU, OPD, Emergency",0
Coxs Bazar Service 2,Coxs Bazar সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Uttara,Coxs Bazar,Chittagong,"Uttara Road, Coxs Bazar",01711000137,,3.1,,BDT 500,24/7 Support,1
Pabna Service Center 3,Pabna সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Dhanmondi,Pabna,Rajshahi,"Dhanmondi Road, Pabna",01711000274,https://listing3.org.bd,3.2,,BDT 500,Online Booking,1
Kushtia Hospital 4,Kushtia হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Gulshan,Kushtia,Khulna,"Gulshan Road, Kushtia",01711000411,,3.3,,Free,,1
Sylhet Sadar Service 5,Sylhet Sadar সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Banani,Sylhet Sadar,Sylhet,"Banani Road, Sylhet Sadar",01711000548,https://listing5.org.bd,3.4,,BDT 500,"ICU, OPD, Emergency",0
Barisal Service Center 6,Barisal সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mohakhali,Barisal,Barisal,"Mohakhali Road, Barisal",01711000685,,3.5,,BDT 500,24/7 Support,1
Dinajpur Hospital 7,Dinajpur হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Shahbag,Dinajpur,Rangpur,"Shahbag Road, Dinajpur",01711000822,https://listing7.org.bd,3.6,,Free,Online Booking,1
Netrokona Service 8,Netrokona সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Agrabad,Netrokona,Mymensingh,"Agrabad Road, Netrokona",01711000959,,3.7,,BDT 500,,1
Tangail Service Center 9,Tangail সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Motijheel,Tangail,Dhaka,"Motijheel Road, Tangail",01711001096,https://listing9.org.bd,3.8,,BDT 500,"ICU, OPD, Emergency",0
Rangamati Hospital 10,Rangamati হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Badda,Rangamati,Chittagong,"Badda Road, Rangamati",01711001233,,3.9,,Free,24/7 Support,1
Rajshahi Service 11,Rajshahi সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mirpur,Rajshahi,Rajshahi,"Mirpur Road, Rajshahi",01711001370,https://listing11.org.bd,4.0,,BDT 500,Online Booking,1
Jessore Service Center 12,Jessore সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Uttara,Jessore,Khulna,"Uttara Road, Jessore",01711001507,,4.1,,BDT 500,,1
Habiganj Hospital 13,Habiganj হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Dhanmondi,Habiganj,Sylhet,"Dhanmondi Road, Habiganj",01711001644,https://listing13.org.bd,4.2,,Free,"ICU, OPD, Emergency",0
Pirojpur Service 14,Pirojpur সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Gulshan,Pirojpur,Barisal,"Gulshan Road, Pirojpur",01711001781,,4.3,,BDT 500,24/7 Support,1
Nilphamari Service Center 15,Nilphamari সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Banani,Nilphamari,Rangpur,"Banani Road, Nilphamari",01711001918,https://listing15.org.bd,4.4,,BDT 500,Online Booking,1
Mymensingh Hospital 16,Mymensingh হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mohakhali,Mymensingh,Mymensingh,"Mohakhali Road, Mymensingh",01711002055,,4.5,,Free,,1
Gazipur Service 17,Gazipur সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Shahbag,Gazipur,Dhaka,"Shahbag Road, Gazipur",01711002192,https://listing17.org.bd,4.6,,BDT 500,"ICU, OPD, Emergency",0
Comilla Service Center 18,Comilla সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Agrabad,Comilla,Chittagong,"Agrabad Road, Comilla",01711002329,,4.7,,BDT 500,24/7 Support,1
Natore Hospital 19,Natore হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Motijheel,Natore,Rajshahi,"Motijheel Road, Natore",01711002466,https://listing19.org.bd,4.8,,Free,Online Booking,1
Bagerhat Service 20,Bagerhat সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Badda,Bagerhat,Khulna,"Badda Road, Bagerhat",01711002603,,4.9,,BDT 500,,1
Sylhet Service Center 21,Sylhet সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mirpur,Sylhet,Sylhet,"Mirpur Road, Sylhet",01711002740,https://listing21.org.bd,3.0,,BDT 500,"ICU, OPD, Emergency",0
Bhola Hospital 22,Bhola হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Uttara,Bhola,Barisal,"Uttara Road, Bhola",01711002877,,3.1,,Free,24/7 Support,1
Kurigram Service 23,Kurigram সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Dhanmondi,Kurigram,Rangpur,"Dhanmondi Road, Kurigram",01711003014,https://listing23.org.bd,3.2,,BDT 500,Online Booking,1
Sherpur Service Center 24,Sherpur সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Gulshan,Sherpur,Mymensingh,"Gulshan Road, Sherpur",01711003151,,3.3,,BDT 500,,1
Manikganj Hospital 25,Manikganj হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Banani,Manikganj,Dhaka,"Banani Road, Manikganj",01711003288,https://listing25.org.bd,3.4,,Free,"ICU, OPD, Emergency",0
Chittagong Service 26,Chittagong সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mohakhali,Chittagong,Chittagong,"Mohakhali Road, Chittagong",01711003425,,3.5,,BDT 500,24/7 Support,1
Bogura Service Center 27,Bogura সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Shahbag,Bogura,Rajshahi,"Shahbag Road, Bogura",01711003562,https://listing27.org.bd,3.6,,BDT 500,Online Booking,1
Satkhira Hospital 28,Satkhira হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Agrabad,Satkhira,Khulna,"Agrabad Road, Satkhira",01711003699,,3.7,,Free,,1
Sunamganj Service 29,Sunamganj সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Motijheel,Sunamganj,Sylhet,"Motijheel Road, Sunamganj",01711003836,https://listing29.org.bd,3.8,,BDT 500,"ICU, OPD, Emergency",0
